Probenahme_Boden_ID,Versuchsjahr,Parzelle_ID
1,1967,1
2,1967,22
3,1967,45
4,1967,57
5,1967,2
6,1967,28
7,1967,39
8,1967,63
9,1967,3
10,1967,30
11,1967,37
12,1967,60
13,1967,4
14,1967,26
15,1967,48
16,1967,53
17,1967,5
18,1967,17
19,1967,43
20,1967,61
21,1967,6
22,1967,18
23,1967,41
24,1967,64
25,1967,7
26,1967,19
27,1967,47
28,1967,59
29,1967,8
30,1967,20
31,1967,46
32,1967,58
33,1967,9
34,1967,29
35,1967,33
36,1967,54
37,1967,10
38,1967,31
39,1967,34
40,1967,56
41,1967,11
42,1967,24
43,1967,35
44,1967,62
45,1967,12
46,1967,32
47,1967,36
48,1967,55
49,1967,13
50,1967,25
51,1967,40
52,1967,49
53,1967,14
54,1967,21
55,1967,42
56,1967,50
57,1967,15
58,1967,23
59,1967,44
60,1967,51
61,1967,16
62,1967,27
63,1967,38
64,1967,52
65,1970,1
66,1970,22
67,1970,45
68,1970,57
69,1970,2
70,1970,28
71,1970,39
72,1970,63
73,1970,3
74,1970,30
75,1970,37
76,1970,60
77,1970,4
78,1970,26
79,1970,48
80,1970,53
81,1970,5
82,1970,17
83,1970,43
84,1970,61
85,1970,6
86,1970,18
87,1970,41
88,1970,64
89,1970,7
90,1970,19
91,1970,47
92,1970,59
93,1970,8
94,1970,20
95,1970,46
96,1970,58
97,1970,9
98,1970,29
99,1970,33
100,1970,54
101,1970,10
102,1970,31
103,1970,34
104,1970,56
105,1970,11
106,1970,24
107,1970,35
108,1970,62
109,1970,12
110,1970,32
111,1970,36
112,1970,55
113,1970,13
114,1970,25
115,1970,40
116,1970,49
117,1970,14
118,1970,21
119,1970,42
120,1970,50
121,1970,15
122,1970,23
123,1970,44
124,1970,51
125,1970,16
126,1970,27
127,1970,38
128,1970,52
129,1972,1
130,1972,22
131,1972,45
132,1972,57
133,1972,2
134,1972,28
135,1972,39
136,1972,63
137,1972,3
138,1972,30
139,1972,37
140,1972,60
141,1972,4
142,1972,26
143,1972,48
144,1972,53
145,1972,5
146,1972,17
147,1972,43
148,1972,61
149,1972,6
150,1972,18
151,1972,41
152,1972,64
153,1972,7
154,1972,19
155,1972,47
156,1972,59
157,1972,8
158,1972,20
159,1972,46
160,1972,58
161,1972,9
162,1972,29
163,1972,33
164,1972,54
165,1972,10
166,1972,31
167,1972,34
168,1972,56
169,1972,11
170,1972,24
171,1972,35
172,1972,62
173,1972,12
174,1972,32
175,1972,36
176,1972,55
177,1972,13
178,1972,25
179,1972,40
180,1972,49
181,1972,14
182,1972,21
183,1972,42
184,1972,50
185,1972,15
186,1972,23
187,1972,44
188,1972,51
189,1972,16
190,1972,27
191,1972,38
192,1972,52
193,1974,1
194,1974,22
195,1974,45
196,1974,57
197,1974,2
198,1974,28
199,1974,39
200,1974,63
201,1974,3
202,1974,30
203,1974,37
204,1974,60
205,1974,4
206,1974,26
207,1974,48
208,1974,53
209,1974,5
210,1974,17
211,1974,43
212,1974,61
213,1974,6
214,1974,18
215,1974,41
216,1974,64
217,1974,7
218,1974,19
219,1974,47
220,1974,59
221,1974,8
222,1974,20
223,1974,46
224,1974,58
225,1974,9
226,1974,29
227,1974,33
228,1974,54
229,1974,10
230,1974,31
231,1974,34
232,1974,56
233,1974,11
234,1974,24
235,1974,35
236,1974,62
237,1974,12
238,1974,32
239,1974,36
240,1974,55
241,1974,13
242,1974,25
243,1974,40
244,1974,49
245,1974,14
246,1974,21
247,1974,42
248,1974,50
249,1974,15
250,1974,23
251,1974,44
252,1974,51
253,1974,16
254,1974,27
255,1974,38
256,1974,52
257,1978,1
258,1978,22
259,1978,45
260,1978,57
261,1978,2
262,1978,28
263,1978,39
264,1978,63
265,1978,3
266,1978,30
267,1978,37
268,1978,60
269,1978,4
270,1978,26
271,1978,48
272,1978,53
273,1978,5
274,1978,17
275,1978,43
276,1978,61
277,1978,6
278,1978,18
279,1978,41
280,1978,64
281,1978,7
282,1978,19
283,1978,47
284,1978,59
285,1978,8
286,1978,20
287,1978,46
288,1978,58
289,1978,9
290,1978,29
291,1978,33
292,1978,54
